编号,注释,路径,行号
690000001,"指令[""KCPD_FORMAT_BIGINT""]不存在。",\k6_instrsuspend.h,116
690000002,"指令已被暂停，撤销指令相应的委托失败、或委托撤单未完成。",\k6_instrsuspend.h,158
720000001,"系统配置没有定义。",\k6_instr_modify.h,45
720000002,"bp数据包[instrstkpackbat]不能为空",\k6_instr_modify.h,53
730000001,"委托序号不能为0。",\k6_manual_affirm_bussiness.h,63
730000002,"成交日期[%d]参数错误",\k6_manual_affirm_bussiness.h,68
730000003,"只有报盘类型为集中交易的才可以人工确认。",\k6_manual_affirm_bussiness.h,73
730000004,"合约号不能为空。",\k6_manual_affirm_bussiness.h,78
730000005,"未找到该成交所对应的委托记录[委托序号=%d]。",\k6_manual_affirm_bussiness.h,88
730000006,"选择的市场[%c]与委托的市场[%c]不一致!",\k6_manual_affirm_bussiness.h,96
730000007,"已转极速交易人工成交。",\k6_manual_affirm_bussiness.h,105
730000008,"bp数据包[人工成交]不能为空",\k6_manual_affirm_bussiness.h,128
730000009,"数据包[人工确认]列数错误",\k6_manual_affirm_bussiness.h,137
740000001,"bp数据包[人工成交]不能为空",\k6_manual_realmatch_business.h,57
740000002,"数据包[人工成交]列数错误",\k6_manual_realmatch_business.h,66
760000001,"回报数据长度[%d]和输入数据长度[%d]不一致。",\k6_realmatch.h,83
760000003,"输入参数[matchflag]只能为0或者1。",\k6_realmatch.h,264
760000004,"交易所代码不能为空。",\k6_realmatch.h,267
760000005,"接口类型不能为空。",\k6_realmatch.h,270
760000006,"运行起始记录号不能小于等于0。",\k6_realmatch.h,273
760000007,"回报数据长度不能小于等于0。",\k6_realmatch.h,275
770000001,"目前系统不支持报盘模式[%c]。",\k6_rpt_interface.h,125
770000002,"目前系统不支持报盘模式[%c]。",\k6_rpt_interface.h,129
770000004,"内存返回的报盘串不存在",\k6_rpt_interface.h,153
770000005,"连接报盘队列[%s]失败。",\k6_rpt_interface.h,170
770000006,"发送报盘队列[%s]失败。",\k6_rpt_interface.h,184
770000007,"系统网关业务[%s]调用失败[%s]。",\k6_rpt_interface.h,279
780000001,"检查内部撤单时获取发送消息ID失败[ordersno = %d]。",\k6_stk_cancel_business.cpp,139
780000002,"bp数据包[withdrawbp]不能为空!",\k6_stk_cancel_business.cpp,327
780000003,"数据包[withdrawbp]列数[%d]不等于2错误!",\k6_stk_cancel_business.cpp,333
780000004,"没有撤单的委托。",\k6_stk_cancel_business.cpp,390
810000001,"指令参数结构体大小错误[传入=%d,实际=%d]。",\k6_stk_instr_business.h,99
810000003,"获取账户[%d]信息失败",\k6_stk_instr_business.h,359
810000004,"指令价格[%.2f]不能为负数",\k6_stk_instr_business.h,394
810000005,"指令金额[%.2f]不能为负数",\k6_stk_instr_business.h,398
810000006,"指令数量[%.0f]不能为负数",\k6_stk_instr_business.h,402
810000007,"证券代码不存在[stkcode=%s,market=%c]",\k6_stk_instr_business.h,421
810000008,"资产单元在projectacct中不存在[projectid=%d]",\k6_stk_instr_business.h,426
810000009,"查询资金账号失败[projectid=%d,fundaccttype=%c]",\k6_stk_instr_business.h,434
810000010,"没有找到[market=%c,fundacct=%s,ft_hedgeflag=%c]对应的股东",\k6_stk_instr_business.h,440
830000001,"委托价格[%.2f]不能为负数。",\k6_stk_order_business.cpp,55
830000002,"委托数量[%.0f]必须为正数。",\k6_stk_order_business.cpp,58
830000003,"市场[%c]的证券代码[%s]不存在",\k6_stk_order_business.cpp,68
830000004,"期货交易投保标志不正确",\k6_stk_order_business.cpp,98
830000005,"获取股东账号失败",\k6_stk_order_business.cpp,109
830000006,"取基本配置[syscongig]失败",\k6_stk_order_business.cpp,119
830000007,"委托价格[%.2f]不能为负数。",\k6_stk_order_business.cpp,243
830000008,"委托数量[%.0f]必须为正数。",\k6_stk_order_business.cpp,247
830000009,"市场[%c]的证券代码[%s]不存在",\k6_stk_order_business.cpp,257
830000010,"期货交易投保标志不正确",\k6_stk_order_business.cpp,287
830000011,"获取股东账号失败",\k6_stk_order_business.cpp,298
830000012,"取基本配置[syscongig]失败",\k6_stk_order_business.cpp,308
830000013,"证券信息不存在[market=%c,stkcode=%s]",\k6_stk_order_business.cpp,455
830000014,"委托触发风控:%s",\k6_stk_order_business.cpp,531
830000015,"bp数据包[orderpack]不能为空",\k6_stk_order_business.cpp,558
830000016,"系统基本配置[s	ysconfig]不存在",\k6_stk_order_business.cpp,583
900000001,"暂不支持的流程标志[Instrflag = %d]!",\stk_instr.h,84
900000002,"bp数据包[instrstkpackbat]不能为空",\stk_instr.h,175
900000003,"获取账户[%d]信息失败",\stk_instr.h,214
900000004,"指令价格[%.2f]不能为负数",\stk_instr.h,251
900000005,"指令金额[%.2f]不能为负数",\stk_instr.h,255
900000006,"指令数量[%.0f]不能为负数",\stk_instr.h,259
900000007,"证券代码不存在[stkcode=%s,market=%c]",\stk_instr.h,289
900000008,"资产单元在projectacct中不存在[projectid=%d]",\stk_instr.h,294
900000009,"查询资金账号失败[projectid=%d,fundaccttype=%c]",\stk_instr.h,302
900000010,"没有找到[market=%c,fundacct=%s,ft_hedgeflag=%c]对应的股东",\stk_instr.h,308
900000011,"找不到系统配置信息[sysconfig]!",\stk_instr.h,390
900000012,"bp数据包[instrstk]不能为空",\stk_instr.h,559
900000013,"指令修改业务数据包的证券内码[stkid]不能为空",\stk_instr.h,571
900000014,"指令修改业务数据包的证券价格[price]不能为空",\stk_instr.h,573
900000015,"指令修改业务数据包的证券数量[instrqty]不能为空",\stk_instr.h,575
900000016,"指令修改业务数据包的证券金额[instramt]不能为空",\stk_instr.h,577
900000017,"指令修改业务数据包的资产单元[acctid]不能为空",\stk_instr.h,581
900000018,"指令修改业务数据包的组合[combid]不能为空",\stk_instr.h,583
900000019,"指令修改业务数据包的分发编号[dispatchid]不能为空",\stk_instr.h,585
900000020,"指令修改业务数据包的方案编号[schemeid]不能为空",\stk_instr.h,587
900000021,"指令修改业务数据包的投保标志[hedgeflag]不能为空",\stk_instr.h,589
900000022,"指令修改业务数据包的买卖标识[bsflag]不能为空",\stk_instr.h,591
900000023,"指令修改业务数据包的投资类型[investtype]不能为空",\stk_instr.h,593
900000024,"指令修改业务数据包的交易市场[market]不能为空",\stk_instr.h,595
900000025,"指令修改业务数据包的证券代码[stkcode]不能为空",\stk_instr.h,597
900000026,"查询股东失败",\stk_instr.h,663
900000027,"修改的指令目标金额[%.2f]不能小于原指令已委托金额[%.2f]",\stk_instr.h,709
900000028,"修改的指令目标数量[%.2f]不能小于原指令已委托数量[%.2f]",\stk_instr.h,715
900000029,"暂不支持此指令证券控制类型[%c]",\stk_instr.h,720
900000030,"允许指令修改的委托方向为[%s]指令证券的委托方向为[%s]",\stk_instr.h,729
900000031,"原指令[""KCPD_FORMAT_BIGINT""]是询价/网上申购/网下申购/锁定解锁/ETF申购/ETF赎回类指令,已经委托,不能修改指令",\stk_instr.h,733
900000032,"bp数据包[instrstk]不能为空",\stk_instr.h,850
